Business Name,Phone,Email,Location,Website,LinkedIn,Facebook,Twitter,Instagram
JDR Roofing,718-269-1379 / 646-208-2914,rgencycontractors@yahoo.com,New York,https://jdrserviceofnewyork.com/,,,,
All Pro Maids,,,,https://www.allprolewes.com,,,,
ALL BRIGHT MAINTENANCE SERVICES,,,,,,,,
American Housekeeping of Northern Utah,,,North Utah,,,,,
Certified Clean Air Services,,,,,,,,
City Window Cleaning,302) 633-0633,info@citywindowcleaning.com,,https://www.citywindowcleaning.com,,,,
Classic Care,250-756-4109,classic.care@outlook.com,"1920 Northfield Road
Nanaimo, BC, V9S 3B5
Canada",https://www.classiccareservices.ca,,https://www.facebook.com/ClassicCareServices/,,http://www.instagram.com/classiccarerugcleaningspa/
Teays Maids,3047574848,sales@teaysmaids.com,"3814 Teays Valley Road, Hurricane, WV, 25526",https://www.teaysmaids.com,,https://facebook.com/teaysmaids,,
Window King,,,,https://www.windowking.biz,,,,
Stoves Chimney Sweep,,,,,,,,
Dave the Window Washer,,,,https://www.windowwasher.com,,,,
Columbus Window Cleaning,614-444-5288,,1 851 S High St,https://www.columbuswindowcleaning.com,https://www.linkedin.com/company/columbus-window-cleaning-co,https://www.facebook.com/Columbus-Window-Cleaning-Company-82695243378/,,
Gingerly Clean Inc,,,,,,,,
Domesticall 360,,,,https://www.domesticallycreative.com,,https://facebook.com/domesticallycreative,https://twitter.com/domesticallycre,https://instagram.com/domesticallycreative
HandyMan Unlimited,,,,https://www.handymanunlimited.com,,,,
EastSide Window Cleaning,714-306-7704,eside@roadrunner.com,,https://www.eastsidewindowcleaningservices.com,,,,
Laners Window & Exterior,5807628235,operations@landerswc.com,,https://www.landerswc.com/,,https://www.facebook.com/Landers-Window-and-Exterior-Cleaning-318606648211336/,,
Fresh Cleaning Company,2608888215,,,https://freshspacecleaning.com/,,https://www.facebook.com/FreshSpaceClean,https://twitter.com/FreshSpaceClean,
CMR Alliance,301-212-9550,Tim@cmralliance.com,"14030 Connecticut Ave, #6274, Silver Spring , MD 20916 |",https://www.cmralliance.com,,,,
Ward Brothers Carpet Care,801) 224-1445,,4615 392 West Center St,https://www.home8.org/UT/Springville/Ward-Brothers-Carpet/,,,,
Top Notch Window & Gutter,425-741-0080,info@topnotchwindows.com,"8229 44th Ave W, Suite H, Mukilteo WA 98275",https://www.topnotchwindows.com,,https://www.facebook.com/TopNotchWindowClean/,,https://www.instagram.com/topnotchwindowclean/
Miracle Maids Corp,,,,,,,,
Kathy's Kleaning Service,,,,,,,,
Splash WC Inc,,,,,,,,
Knope Heating & Air Conditioning,,,,,,,,
Service Depot,,help@servicedepot.com,,https://www.servicedepot.com,,,,
"MaidBrite, LLC",216) 371-3839,maidbritellc@gmail.com,,https://www.maidbritellc.com,,https://www.facebook.com/maidbrite/,http://www.twitter.com/MaidBriteLLC,
SwimKing Pools & Spas,+16317448100,,"471 New York 25A
Rocky Point, NY, 11778
United States",https://www.swimking.com,,https://www.facebook.com/SwimKingPools/,,https://www.instagram.com/swimkingpoolsli/
"Reflection Windows & Doors, LLC",303-426-4474,services@reflectionwindows.com,"900 S Jason St, Denver, CO, 80250",https://www.reflectionwindows.com,,https://www.facebook.com/reflectionwindowsdoors,,https://www.instagram.com/reflectionwindows/
North Jersey Pump,718-320-5200,american@optonline.net,5363 2190 Reeds Mill Ln,https://www.americansecuredfence.com,,https://facebook.com/North-Jersey-Pump-Co-1588392508075909,https://twitter.com/ASFCSecurity,
Royal Maid,,,,https://www.royalmaidservice.com,,,,
Action Window Cleaning,,,,https://www.actionwindowcleaning.co.uk,,,,
Handyman Roofing,8667381287,,"11327 43rd St N, Clearwater, FL, 33762",https://www.handymanroofing.com,,https://www.facebook.com/HandymanRoofingContractors/,,https://www.instagram.com/handyman_roofing/
Martin's Cleaners,904) 441-8244,,4360 Palm Valley Rd,https://www.martinscleaners.com,,https://www.facebook.com/Martins-Cleaners-484076705733885,,
Maid Solution LLC,,,,,,,,
Maxi Maids,703-941-4205,,MONDAY-SATURDAY 8AM-4PM ET,https://www.maximaids.com,,http://www.facebook.com/maximaidsinc,http://www.twitter.com/maximaidsinc,http://www.instagram.com/maximaidsinc
Maximo Cleaning,,,,,,,,
American Housekeeping of Utah,801) 728-3535,,"995 W Levoy Dr, Taylorsville, UT, 84123",https://www.americanhousekeepingutah.com,,,,
Spring Fresh,,,,https://www.springfreshcleaninginc.com,,,,
American Window Cleaning,563-210-2008,americanwindowcleaninginc@gmail.com,"2400 18th Street
Bettendorf, IA, 52722
United States",https://www.goamericanwindowcleaning.com,,https://www.facebook.com/americanwindowcleaninginc/,,
The Water Heater Man,,,,https://www.waterheaterman.co,,,,
Home Makeover Systems,,,,,,,,
"Great Southern Water Treatment, Inc.",,,,,,,,
The Window Brothers,,,,,,,,
Imperial Commercial Cleaning,,,,https://www.imperialcleaning.co.ke,,,,
Service 1st Window & Pressure Cleaning,480) 775-3886,jason@service1stwindows.com,Peoria,https://www.service1stwindows.com,,https://www.facebook.com/pages/category/Window-Installation-Service/Service-1st-Windows-and-Pressure-Cleaning-498843690254019/,,
"Texas Filter Service, Inc",,,,,,,,
Magiclean Maid Services,,,,,,,,
Dry-Concepts,800-248-5071,,"4190 S University Dr, Davie, FL, 33328",https://www.dryconcepts.com,,https://www.facebook.com/DryConceptsFL/,https://twitter.com/DryConceptsFL,
Cleaning Your Way,,,,,,,,
Royal Maid - Port Charlotte,,,,,,,,
Patty's Cleaning Service,925) 682-7005,Patty@wecleanhomes.net,,https://www.pattyscleaningservice.com,,,,
Harbour Ridge Property,,,,,,,,
Perfect Shine Housekeeping,,,,,,,,
The Window Washer,,,,TheWindowWasher.Com,,,,
Carefree Window Cleaning,,,,,,,,
Dominion Maids Services,,,,,,,,
Custom Cleaning and Maintenance Company,,,,,,,,
Anderson Window Cleaning,5852169629,info@andersonwindowcleaning.com,,https://www.andersonwindowcleaning.com,,https://www.facebook.com/andersonwindowcleaninginc,,https://www.instagram.com/andersonwindowcleaning.ny/
Tip Maintenance,,,,,,,,
"McNevin Cleaning Specialists, Inc.",,,,,,,,
Mango Bay Management,,,,,,,,
BC Window Care,,,,,,,,
Chimney Chaps,502-243-2427,chimneychaps@bellsouth.net,,https://www.chimneychaps.com,,,,
Prmier Grease,,,,,,,,
Innovative HVAC,8039394730,mailservice@innovativehvacr.com,,https://www.innovativehvacr.com,,,,
Fitness Town,,,,https://www.fitnesstown.ca,,,,
Lake Country Repair,,,,,,,,
On Septic Services Inc,,,,,,,,
"Genesta Services Group, Inc.",,,,,,,,
Carpet and Stone Care,,,,,,,,
Alaska Heating & Cooling,7652811500,,1098 W Walnut St,https://www.alaskaheatingandcooling.com,,,,
Champion Cleaning,978-418-0051,,55 Chase Street,https://www.championcleaning.com,https://www.linkedin.com/company/champion-cleaning/,https://www.facebook.com/ChampCleaning/,,
Chicago Cascade,847.303.0553,info@chicagocascade.com,7848 Morrison St.,https://www.chicagocascade.com,,,,
"Busy D Pumping, INC",,,,,,,,
Four Star Chemical/MX Factor,,,,,,,,
Intex Solutions Inc.,,,,,,,,
Diamondback Manufacturing,,,,https://www.diamondbackman.com,,,,
Washington Air Filtration,1-800-336-1846,,Saturday 9:00am to 12:00pm,https://www.washingtonairfiltration.com,,,,
B + L Pools,,,,https://www.pooltroubles.com,,,,
Samsons Carpet Care Inc,,,,,,,,
"MasterCare UltraClean, Inc.",,,,,,,,
Mountain Aire,3368774716,info@mountainaire.com,"1396 Fairway Ridge Drive, West Jefferson, North Carolina, 28694",https://www.mountainaire.com,,https://www.facebook.com/Mountain-Aire-Golf-Club-111609072212781/,,https://www.instagram.com/mountainairegolfclub/
"Deep Cleaning Solutions, LLC",,,,,,,,
Chimney Cricket Inc,,,,,,,,
"Gamble Home Services, Inc.",,,,,,,,
All Clean Carpet & Upholstery,516) 621-0524,John@allcleancarpetinc.com,,https://www.allcleancarpetinc.com,,,,
Pelican Swim Center,,,,,,,,
Purity Group LLC,,,,,,,,
Dallas North Aquarium,972.492.6165,Ksmith@dallasnorthaquarium.com,"2910 East Trinity Mills Road, Carrollton, TX, 75006-2318",https://www.dallasnorthaquarium.com,,https://www.facebook.com/DallasNorth/,,https://www.instagram.com/dallas.northaquarium/
"Aqua Care Pool & Spa, Inc",954) 867-4237,aquacarepool@yahoo.com,FL,https://www.aquacarepool.com,,https://www.facebook.com/AquacarePoolServiceAndRepairs/,,https://www.instagram.com/aquacare_pool/
Aerating & Thatching Co.,,,,,,,,
A1 Security Systems,519.542.2100,sales@a1security.com,A1 Security Systems Sarnia New Office Location,https://www.a1security.com,,https://www.facebook.com/A1-Security-Systems-162460530760742/?fref=ts,,
"Tropical Air of Central Florida, LLC.",,,,,,,,
J. Brian Day Emergency Services,866) 621-2102,info@jbrianday.com,"240 Maple St, Bellingham, MA, 02019",https://www.jbrianday.com,https://www.linkedin.com/company/j-brian-day-emergency-services/,https://www.facebook.com/jbrianday,https://twitter.com/jbrianday,https://www.instagram.com/jbrianday/
Klearview Window Cleaning Ltd,,,,,,,,
Tri County Fence & Decks,301) 916-2205,marketing@tricountyfence.com,"24520 Frederick Rd, Clarksburg, MD, 20871",https://www.tricountyfence.com,,https://www.facebook.com/tricountyfenceanddecks/,https://twitter.com/tricountymd,
Mrs Clean Maid Service,,,,,,,,
Pool Titans,,,,,,,,
All American Pool N Patio Inc,,,,,,,,
Art's Air Control,,,,,,,,
Edgil Pool Services Ltd,,,,,,,,
Service Pro,,,,https://www.theservicepro.net,,,,
Montgomery Winslow Roofing,,,,,,,,
Clearwater Pool and Spa,15017608390,,"1331 Airport Rd Ste. K, Hot Springs, AR 71913",https://www.clearwaterpoolandspasupplies.com,,,,
Amaro's Cleaning service,,,,,,,,
McDowells Complete Chimney,,,,,,,,
Xtreme Termite & Pest Control,,,,,,,,
"Mid State Pool Liners, Inc.",,,,,,,,
Sunshine Cleaning & Janitorial Services,4142157347,info@sunshinecleaningcompany.com,"914 Columbia Ave, South Milwaukee, WI, 53172",https://www.sunshinecleaningcompany.com,https://www.linkedin.com/company/sunshinecleaningcompany,https://www.facebook.com/mysunshinecleaningcompany/,,
London Chimney Sweeps,,,,,,,,
NORTH SHORE PLG & HTG. CO. LTD.,,,,,,,,
Cape & Island Tennis & Track,18666799682,,,https://www.capella.edu,,https://www.facebook.com/CapellaUniversity,https://twitter.com/CapellaU,https://www.instagram.com/capellau/
Almaden Valley Window Cleaning,,,,,,,,
Len's Appliance Inc.,,,,,,,,
Marina Maids,,,,https://www.marinamaids.net,,,,
Isaac's Maid Service,,,,,,,,
Austin All Maids/Sunn,,,,,,,,
Endless Roads Inc.,,,,,,,,
Tson Services Inc,,,,,,,,
Luxury Maids,1 (561) 746-9118,,1897 Palm Beach Lakes Blvd. Ste. #121,https://www.myluxurymaids.com,,https://www.facebook.com/myLuxuryMaids/,https://twitter.com/luxurymaids,https://www.instagram.com/luxury_maids/
Charlie's Drain Service,330-678-1252,charliesdrainservice@gmail.com,,https://www.charliesdrainservice.com,,https://www.facebook.com/CharliesDrainService,,https://www.instagram.com/charliesdrainservice/
Pool and Spa Poseidon,,,,,,,,
Top Job Services,515.331.1300,info@topjobdesmoines.com,3084 104th Street,https://www.topjobdesmoines.com,,,,
Mayflower Maids,,,,https://www.mayflowermaids.net,,,,
C&K Air and Heating Inc.,,phishing@chase.com,,https://www.chase.com,https://www.linkedin.com/company/chase?trk=company_logo,https://www.facebook.com/chase,https://twitter.com/Chase,https://instagram.com/chase
"Alarm Security, LLC",15737569191,,314-434-9191 St. Louis,https://www.alarmsecurityllc.com,,,,
Windsor Home Cleaning,613-238-7761,office@wecleanhomes.com,"200 – 910 Clyde Avenue, Ottawa, ON, K1Z 5A5",https://www.wecleanhomes.com,,https://www.facebook.com/WindsorHomeCleaning/,,https://www.instagram.com/windsorhomecleaning/
Brn-Mark Window Cleaning,,,,,,,,
Arizona cleanPROS,480.836.4277,,,https://www.azcleanpros.com,,https://www.facebook.com/azcleanpros,,
Bug Busters Pest Control Inc.,,,,,,,,
Clean Tech Maid Service,8154674965,office@cleantech1.com,"118 Serena Court
Minooka, IL, 60447
United States",https://www.cleantech1.com,,,,
Bella Casa Cleaners,,,,https://www.bellacasacleaners.com,,,,
"KAB Computer Services, LLC",,,,,,,,
"Robertson Pools, Inc.",,,,,,,,
Eco Hood & Pumping,,,,,,,,
Kathy Clean,3036812559,info@kathyclean.com,"7500 E Arapahoe Rd #200, Centennial, CO 80112, United States",https://www.kathyclean.com,https://www.linkedin.com/company/kathyclean,https://www.facebook.com/KathyCleanProfessionalCleaningServices/,,https://www.instagram.com/kathycleandenver/
Sayed Skinner Overlook Landscape,,,,,,,,
Don Johnson Pool & Spa,,,,,,,,
Legal Shred Inc.,,,,,,,,
ECO Restoration & Cleaning Services,407) 553-2611,jsecofla@gmail.com,"290 S Military Trail, Deerfield Beach, FL, 33442",https://www.ecofla.com,https://www.linkedin.com/company/eco-restoration-construction/,https://www.facebook.com/ecorestorationandconstruction,,http://www.instagram.com/ecorestorationandconstruction1
Affordable Window Cleaning,,,,,,,,
Clearly Clean,8887698723,,14 Clearly Clean Way,https://www.clearlyclean.com,https://www.linkedin.com/company/clearly-clean-products-llc/,https://www.facebook.com/ClearlyCleanProductsLLC/,,
Klearview Window Cleaners,,,,,,,,
H2O Window Cleaning,,,,https://www.h2owindowclean.co.uk,,,,
Homewatch Concierge,302) 449-9535,info@homewatch-concierge.com,,https://www.homewatch-concierge.com,,https://www.facebook.com/HomewatchConciergeDE,,
MDL Landscaping Inc.,,,,,,,,
Beacon Industrial Services,888-671-3939,info@beaconindustrialservices.com,,https://www.beaconindustrialservices.com,https://www.linkedin.com/company/beacon-industrial-services-limited/,https://www.facebook.com/Beacon-Industrial-Services-LLC-115615904470713,,
"Maid Envy, LLC",,,,,,,,
Superior Window Cleaning,858.717.4113,superiorwindows10@gmail.com,2371 Caringa Way,https://www.superiorwindow-cleaning.com,,https://www.facebook.com/Superior-Window-Cleaning-San-Diego-289245931106467/timeline/,https://twitter.com/Superior__Clean,
Complete Home Services,,,,https://www.completehomes.ca,,,,
Great Northern Cleaning,6035363050,greatnortherncleaning@yahoo.com,"607 Tenney Mtn. Highway, Ste 208 Plymouth , NH 03264 (603) 536-3050 greatnortherncleaning@yahoo.com",https://www.greatnortherncleaning.com,,https://facebook.com/GreatNorthernCleaning/,,
"CWC Landscaping, LLC",,,,,,,,
Green Matters Nursery and Landscaping,,,,,,,,
Top Notch Lawn Care,516-889-3249,billing.tnlc@optonline.net,,https://www.topnotchlawncareli.com,,,,
Sayed Leasehold Improvements Inc,,,,,,,,
Choice 1 Cleaning,,,,https://www.choicecleaning.co.uk,,,,
Hood Boss,972.704.1812,,2511 Merrell Rd,https://www.thehoodboss.com,https://www.linkedin.com/company/hood-boss/,https://www.facebook.com/hoodboss2018,,
Davis Brothers Chimney Sweep and Masonry,,,,,,,,
Vessels Plumbing Heating and Cooling,,,,,,,,
Cleaning with Meaning,7183063112,info@cwmny.com,15 Fortune Road,https://www.cwmny.com,,,,
Americlean Services Corp,,,,,,,,
MaidAide,,,,https://www.maidai.com.au,,,,
K.C. Wester LLC,505.466.3337,,,https://www.kcwesterllc.com,,https://www.facebook.com/pages/KC-Wester-LLC/820026494717457,https://twitter.com/WesterKc,
CC Refrigeration,,,,,,,,
MM Detailing,,,,,,,,
Andromeda Ent.,,,,,,,,
Advanced Business Interiors,6137381003,contact-us@makespacework.com,1071 Ages Drive,https://www.makespacework.com,https://www.linkedin.com/company/advanced-business-interiors/?viewAsMember=true,https://www.facebook.com/AdvancedBusinessInteriors/,,https://www.instagram.com/advancedbusinessinteriors/
Agua Trucks Inc.,,,,,,,,
Kennedy Carpet Cleaners,,,,,,,,
Lawnscape Systems,7149091836,,"5215 State St,, Montclair, CA, 91763",https://www.lawnscape.com,,,,
Fernando Duran Michel's Pest Control Co.,,,,,,,,
"Ashlynn Floyd Duraclean International, Inc.",,,,,,,,
Bennett Pest Control Inc,,,,,,,,
Future Lawn,,,,https://www.futurelaw.net,,,,
